,Entity,Code,Year,Arable land needed to produce a fixed quantity of crops ((1.0 = 1961)),country-code
49,Afghanistan,AFG,2010.0,0.544869103,4.0
157,Albania,ALB,2010.0,0.388659967,8.0
211,Algeria,DZA,2010.0,0.457408983,12.0
265,American Samoa,ASM,2010.0,1.622473727,16.0
373,Angola,AGO,2010.0,0.343561925,24.0
427,Antigua and Barbuda,ATG,2010.0,0.890310536,28.0
481,Argentina,ARG,2010.0,0.439791837,32.0
589,Australia,AUS,2010.0,0.343845974,36.0
697,Austria,AUT,2010.0,0.6873795,40.0
751,Bahamas,BHS,2010.0,0.375129713,44.0
805,Bahrain,BHR,2010.0,1.085476872,48.0
859,Bangladesh,BGD,2010.0,0.270098015,50.0
913,Barbados,BRB,2010.0,2.728067238,52.0
967,Belize,BLZ,2010.0,0.293233286,84.0
1021,Benin,BEN,2010.0,0.471552179,204.0
1075,Bermuda,BMU,2010.0,0.493054939,60.0
1129,Bhutan,BTN,2010.0,0.309505577,64.0
1237,Botswana,BWA,2010.0,0.509937598,72.0
1291,Brazil,BRA,2010.0,0.585188258,76.0
1451,Bulgaria,BGR,2010.0,0.771949862,100.0
1505,Burkina Faso,BFA,2010.0,0.38733234,854.0
1559,Burundi,BDI,2010.0,0.718709584,108.0
1613,Cabo Verde,,2010.0,0.679323048,132.0
1667,Cambodia,KHM,2010.0,0.384240247,116.0
1721,Cameroon,CMR,2010.0,0.222443725,120.0
1775,Canada,CAN,2010.0,0.244932746,124.0
1883,Central African Republic,CAF,2010.0,0.493675762,140.0
1991,Chad,TCD,2010.0,0.312057828,148.0
2045,Chile,CHL,2010.0,0.09628512,152.0
2099,China,CHN,2010.0,0.262185387,156.0
2315,Colombia,COL,2010.0,0.165136054,170.0
2369,Comoros,COM,2010.0,0.403453838,174.0
2423,Congo,COG,2010.0,0.36377155,178.0
2477,Cook Islands,COK,2010.0,2.797737243,184.0
2531,Costa Rica,CRI,2010.0,0.116142973,188.0
2639,Cuba,CUB,2010.0,2.643752369,192.0
2693,Cyprus,CYP,2010.0,0.377483157,196.0
2801,Denmark,DNK,2010.0,0.503882355,208.0
2855,Djibouti,DJI,2010.0,0.037034409,262.0
2909,Dominica,DMA,2010.0,0.69669091,212.0
2963,Dominican Republic,DOM,2010.0,0.605149553,214.0
3179,Ecuador,ECU,2010.0,0.247596242,218.0
3233,Egypt,EGY,2010.0,0.238824124,818.0
3287,El Salvador,SLV,2010.0,0.785007201,222.0
3341,Equatorial Guinea,GNQ,2010.0,1.119243101,226.0
3557,Fiji,FJI,2010.0,1.619260799,242.0
3611,Finland,FIN,2010.0,0.61300128,246.0
3665,France,FRA,2010.0,0.622671952,250.0
3719,French Guiana,GUF,2010.0,0.935060263,254.0
3773,French Polynesia,PYF,2010.0,1.736291749,258.0
3827,Gabon,GAB,2010.0,1.099562687,266.0
3881,Gambia,GMB,2010.0,1.778555729,270.0
3935,Germany,DEU,2010.0,0.753129109,276.0
3989,Ghana,GHA,2010.0,0.595986726,288.0
4043,Greece,GRC,2010.0,0.618403559,300.0
4097,Grenada,GRD,2010.0,0.85015573,308.0
4151,Guadeloupe,GLP,2010.0,1.309731234,312.0
4205,Guam,GUM,2010.0,0.135825315,316.0
4259,Guatemala,GTM,2010.0,0.147591352,320.0
4313,Guinea,GIN,2010.0,0.250774683,324.0
4367,Guinea-Bissau,GNB,2010.0,0.400266975,624.0
4421,Guyana,GUY,2010.0,0.805540996,328.0
4475,Haiti,HTI,2010.0,0.665262322,332.0
4529,Honduras,HND,2010.0,0.220361098,340.0
4583,Hungary,HUN,2010.0,0.662019278,348.0
4637,Iceland,ISL,2010.0,0.544418777,352.0
4691,India,IND,2010.0,0.282042519,356.0
4745,Indonesia,IDN,2010.0,0.226664151,360.0
4853,Iraq,IRQ,2010.0,0.274907202,368.0
4907,Ireland,IRL,2010.0,0.740897808,372.0
4961,Israel,ISR,2010.0,0.284523879,376.0
5015,Italy,ITA,2010.0,0.441303319,380.0
5069,Jamaica,JAM,2010.0,0.777960514,388.0
5123,Japan,JPN,2010.0,0.988398912,392.0
5177,Jordan,JOR,2010.0,0.299432163,400.0
5231,Kenya,KEN,2010.0,0.298362976,404.0
5285,Kiribati,KIR,2010.0,0.831352155,296.0
5339,Kuwait,KWT,2010.0,0.092227494,414.0
5555,Lebanon,LBN,2010.0,0.239505645,422.0
5609,Lesotho,LSO,2010.0,0.644965254,426.0
5663,Liberia,LBR,2010.0,0.602834683,430.0
5717,Libya,LBY,2010.0,0.146391952,434.0
5771,Liechtenstein,LIE,2010.0,0.543535213,438.0
5879,Madagascar,MDG,2010.0,0.627231751,450.0
5933,Malawi,MWI,2010.0,0.399552716,454.0
5987,Malaysia,MYS,2010.0,0.182986206,458.0
6041,Maldives,MDV,2010.0,1.459929226,462.0
6095,Mali,MLI,2010.0,0.605779479,466.0
6149,Malta,MLT,2010.0,0.30074786,470.0
6203,Martinique,MTQ,2010.0,2.57889132,474.0
6257,Mauritania,MRT,2010.0,0.523954025,478.0
6311,Mauritius,MUS,2010.0,0.877170956,480.0
6419,Mexico,MEX,2010.0,0.323458465,484.0
6581,Mongolia,MNG,2010.0,0.184721087,496.0
6635,Montserrat,MSR,2010.0,0.55785877,500.0
6689,Morocco,MAR,2010.0,0.199927566,504.0
6743,Mozambique,MOZ,2010.0,0.746996265,508.0
6797,Myanmar,MMR,2010.0,0.174258543,104.0
6851,Namibia,NAM,2010.0,0.352814792,516.0
6905,Nepal,NPL,2010.0,0.300122845,524.0
7013,Netherlands,NLD,2010.0,0.477234775,528.0
7067,New Caledonia,NCL,2010.0,1.396441092,540.0
7121,New Zealand,NZL,2010.0,0.028945297,554.0
7175,Nicaragua,NIC,2010.0,0.490735916,558.0
7229,Niger,NER,2010.0,0.187552557,562.0
7283,Nigeria,NGA,2010.0,0.299163935,566.0
7337,Niue,NIU,2010.0,0.459733278,570.0
7607,Norway,NOR,2010.0,1.296254853,578.0
7715,Oman,OMN,2010.0,0.213651427,512.0
7769,Pakistan,PAK,2010.0,0.194082948,586.0
7823,Panama,PAN,2010.0,0.91427895,591.0
7877,Papua New Guinea,PNG,2010.0,1.20220299,598.0
7931,Paraguay,PRY,2010.0,0.594497713,600.0
7985,Peru,PER,2010.0,0.603075837,604.0
8039,Philippines,PHL,2010.0,0.292573783,608.0
8093,Poland,POL,2010.0,0.740454806,616.0
8201,Portugal,PRT,2010.0,0.485311162,620.0
8255,Puerto Rico,PRI,2010.0,1.317857494,630.0
8309,Qatar,QAT,2010.0,0.894485907,634.0
8417,Romania,ROU,2010.0,0.661505692,642.0
8471,Rwanda,RWA,2010.0,0.411458797,646.0
8525,Saint Kitts and Nevis,KNA,2010.0,5.205632962,659.0
8579,Saint Lucia,LCA,2010.0,1.947328444,662.0
8633,Saint Vincent and the Grenadines,VCT,2010.0,0.547742259,670.0
8687,Samoa,WSM,2010.0,0.723177587,882.0
8741,Sao Tome and Principe,STP,2010.0,6.442589311,678.0
8795,Saudi Arabia,SAU,2010.0,0.360663148,682.0
8849,Senegal,SEN,2010.0,0.58241281,686.0
8903,Seychelles,SYC,2010.0,3.010095326,690.0
8957,Sierra Leone,SLE,2010.0,1.0075504,694.0
9011,Singapore,SGP,2010.0,0.701675927,702.0
9119,Solomon Islands,SLB,2010.0,0.517746149,90.0
9173,Somalia,SOM,2010.0,0.719831408,706.0
9227,South Africa,ZAF,2010.0,0.384142112,710.0
9605,Spain,ESP,2010.0,0.343931828,724.0
9659,Sri Lanka,LKA,2010.0,0.784799469,144.0
9763,Suriname,SUR,2010.0,0.542744245,740.0
9871,Sweden,SWE,2010.0,0.765348152,752.0
9925,Switzerland,CHE,2010.0,1.2336564,756.0
10087,Thailand,THA,2010.0,0.289594609,764.0
10141,Timor-Leste,,2010.0,0.669872724,626.0
10195,Togo,TGO,2010.0,0.403775133,768.0
10249,Tonga,TON,2010.0,1.532080877,776.0
10303,Trinidad and Tobago,TTO,2010.0,1.615150139,780.0
10357,Tunisia,TUN,2010.0,0.211893581,788.0
10411,Turkey,TUR,2010.0,0.281245495,792.0
10465,Uganda,UGA,2010.0,0.798297785,800.0
10519,United Arab Emirates,ARE,2010.0,0.086783697,784.0
10681,Uruguay,URY,2010.0,0.187771167,858.0
10735,Vanuatu,VUT,2010.0,1.02355523,548.0
10897,Wallis and Futuna,WLF,2010.0,0.682231365,876.0
11167,Yemen,YEM,2010.0,0.233793321,887.0
11221,Zambia,ZMB,2010.0,0.227529206,894.0
11275,Zimbabwe,ZWE,2010.0,0.990830232,716.0
